login-login,name-name,first-first,last-last,prefix-prefix,domain-domain,login-name,name-login,first-last,last-first,login-prefix,prefix-login,domref-name,name-domref,domref-login,login-domref,first-freq-score,last-freq-score,prefix-freq-score,domain-freq-score,label
,0.23,0.22,0.0,0.43,0.06,0.23,,0.0,0.33,0.43,,,0.33,,0.33,1.0479516371446924,1.0,3.321928094887362,0.3598579245212535,0.0
,1.0,1.0,1.0,0.4,0.45,0.38,,0.14,0.14,0.57,,,,,,1.660964047443681,1.660964047443681,1.0,0.3598579245212535,1.0
,0.5,0.4,0.5,0.36,0.44,0.36,,0.0,0.0,0.36,,,0.17,,0.18,0.6048829123101416,1.0,1.0,0.3598579245212535,0.0
,0.56,0.5,0.5,0.33,0.21,0.44,,0.0,0.25,0.33,,,0.2,,0.15,0.5623818557528477,1.0479516371446924,1.0,0.2180999182845727,0.0
,0.23,0.2,0.25,0.42,1.0,0.17,,1.0,0.12,0.42,,,,,,1.430676558073393,1.0,1.0,0.17992896226062674,0.0
,1.0,1.0,1.0,,,0.56,,0.0,0.0,1.0,,,0.22,,0.22,1.660964047443681,1.0479516371446924,0.5947986391060673,0.6014104886149799,1.0
,0.18,0.0,0.57,0.5,1.0,0.18,,0.0,0.57,0.45,,0.0,0.0,,0.0,1.0,1.0,1.0,0.8304820237218405,0.0
,0.25,0.29,0.12,0.62,0.38,0.31,,0.62,0.29,0.62,,,0.33,,0.22,1.0,1.0,1.0,0.3598579245212535,0.0
,0.25,0.17,0.14,0.27,0.36,0.45,,0.0,0.6,0.5,,,0.0,,0.0,2.095903274289385,1.0,3.321928094887362,0.3598579245212535,0.0
,0.5,0.4,0.5,0.36,0.21,0.45,,0.0,0.0,0.36,,,0.15,,0.15,0.5384065599032098,1.0,1.0,0.2180999182845727,0.0
,0.31,0.67,0.33,0.36,1.0,0.44,,0.67,0.33,0.36,,,,,,1.0,1.0,1.0,0.17992896226062674,0.0
,0.38,0.67,0.0,0.38,1.0,0.38,,0.25,0.5,0.38,,,,,,1.0479516371446924,1.0,3.321928094887362,0.17992896226062674,0.0
,0.42,0.12,0.38,0.38,1.0,0.42,,0.38,0.12,0.38,,,,,,1.660964047443681,1.0,1.0,0.17992896226062674,0.0
,0.42,0.57,0.27,0.33,1.0,0.32,,0.18,0.0,0.45,,,,,,2.095903274289385,1.0,1.0,0.17992896226062674,0.0
,0.45,0.6,0.2,0.4,0.44,0.45,,0.0,0.2,0.36,,0.0,,,,1.0479516371446924,1.0,1.0,0.2957762153765198,0.0
,0.45,0.4,0.4,0.4,0.44,0.45,,0.2,0.4,0.36,,0.0,,,,1.0,1.0,1.0,0.2957762153765198,0.0
,0.5,0.33,0.67,0.27,0.36,0.27,,0.67,0.2,0.4,,,0.08,,0.0,0.6285099898418801,1.660964047443681,1.0,0.2591979154996086,0.0
,0.39,0.83,0.09,0.46,1.0,0.44,,0.09,0.0,0.6,,,,,,0.6241963505817848,1.0,1.0,0.17992896226062674,0.0
,1.0,1.0,1.0,1.0,1.0,0.15,,0.0,0.0,0.17,,,,,,1.0,1.0,1.0,0.17992896226062674,1.0
,0.27,0.29,0.14,0.5,0.13,0.53,,0.14,1.0,0.57,,0.27,,,,1.0,1.0,3.321928094887362,1.0,0.0
,0.5,0.5,0.5,0.5,1.0,0.45,,0.2,0.0,0.45,,,,,,0.3696846793184503,1.0,1.0,0.17992896226062674,0.0
,0.42,0.83,0.0,0.5,0.36,0.45,,0.83,0.0,0.58,,0.0,,,,0.588591910067779,1.0,1.660964047443681,0.3598579245212535,0.0
,0.53,0.64,0.29,0.5,1.0,0.32,,0.09,0.09,0.33,,,,,,1.0,1.0,1.0,0.17992896226062674,0.0
,0.36,0.8,0.0,0.5,1.0,0.45,,0.0,0.8,0.5,,,,,,1.0,1.0,1.0,0.17992896226062674,0.0
,0.44,0.12,0.38,0.44,1.0,0.5,,0.12,0.38,0.44,,,,,,0.8502741537276025,1.0,1.0,0.17992896226062674,0.0
,0.5,0.33,0.6,0.45,0.73,0.36,,0.0,0.0,0.45,,,,,,0.8725028695491559,1.0,1.0,0.281133755571806,0.0
,1.0,1.0,1.0,0.54,0.38,0.33,,0.0,0.0,0.54,,,0.12,,0.31,1.0479516371446924,1.660964047443681,1.0,0.2759402828481802,1.0
,1.0,1.0,1.0,1.0,1.0,0.2,,0.0,0.0,0.1,,0.2,0.2,,0.0,0.3724609298866735,1.0,1.660964047443681,1.0,0.0
,0.44,1.0,0.0,0.55,0.15,0.25,,0.33,0.33,0.33,,,0.08,,0.11,0.44885585875131156,1.0,3.321928094887362,0.3598579245212535,0.0
,0.5,1.0,0.11,0.33,0.44,0.5,,0.33,0.22,0.33,,,0.12,,0.13,0.44885585875131156,1.0,1.0,0.3598579245212535,0.0
,0.44,1.0,0.0,0.4,0.15,0.38,,0.33,0.22,0.4,,,0.12,,0.13,0.44885585875131156,1.0,3.321928094887362,0.3598579245212535,0.0
,0.27,0.5,0.12,0.5,1.0,0.27,,0.12,0.5,0.5,,,,,,1.0,1.0,1.0,0.17992896226062674,0.0
,0.33,0.5,0.0,0.25,0.73,0.45,,0.0,1.0,0.5,,,,,,0.8725028695491559,1.0,1.0,0.281133755571806,0.0
,0.5,1.0,0.0,0.45,0.38,0.45,,0.4,0.0,0.45,,,0.25,,0.27,0.42513707686380126,0.8304820237218405,3.321928094887362,0.3598579245212535,0.0
,0.57,1.0,0.25,0.4,1.0,0.5,,0.12,0.0,0.55,,,,,,0.31425499492094006,1.0,1.0,0.17992896226062674,0.0
,0.29,0.5,0.12,0.36,0.22,0.29,,0.12,0.6,0.67,,,0.17,,0.33,0.3696846793184503,1.0,3.321928094887362,0.3598579245212535,0.0
,0.38,0.83,0.17,0.5,0.1,0.62,,0.83,0.17,0.5,,0.14,,,,0.588591910067779,1.0,1.660964047443681,0.3598579245212535,0.0
,1.0,1.0,1.0,0.6,0.31,0.27,,0.17,0.17,0.5,,0.0,,,,0.44885585875131156,1.660964047443681,3.321928094887362,0.3598579245212535,1.0
,0.62,1.0,0.33,0.4,1.0,0.53,,0.5,0.22,0.4,,,,,,0.44885585875131156,1.0,1.0,0.17992896226062674,0.0
,0.58,0.17,1.0,0.54,1.0,0.45,,0.0,0.2,0.54,,,,,,1.0,0.46331420401456336,1.0,0.17992896226062674,0.0
